제목,상품코드,상품ID,리뷰_내용,평점,감정키워드,작성자,작성일,도움됨,댓글수
트렌드 코리아 2026,9791193638859,S000217467412,아직많이 읽어보진않았습니다 매년 보다가 포기해서 이번엔 꼭 다읽어보려고요,3,추천해요,ya******************,2025-11-22,0,0
트렌드 코리아 2026,9791193638859,S000217467412,투자에 도움이 될까하여 구매했습니다. 아직 초반이지만 느낌이 좋습니다,4,도움돼요,jo******,2025-11-19,0,0
트렌드 코리아 2026,9791193638859,S000217467412,좋습니다 추천합니다,4,최고예요,ha*****,2025-11-19,0,0
트렌드 코리아 2026,9791193638859,S000217467412,숄더스 카라몔 베이지 외국 허스 하늘 의 힘 뉴욕 타임즈,4,도움돼요,yu*********,2025-11-19,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구매하는 책입니다,4,도움돼요,ka******,2025-11-19,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구입해 읽고 있어요~~,4,도움돼요,ul*******,2025-11-18,0,0
트렌드 코리아 2026,9791193638859,S000217467412,유명한 책이라 샀습니다! 아직 안읽었지만 열심히 읽겠습니다,4,도움돼요,gr*******,2025-11-17,0,0
트렌드 코리아 2026,9791193638859,S000217467412,키워드로 예측한 내년도 각분야 흐름을 쉽게 이해할수 있었습니다.,4,집중돼요,jj*****,2025-11-17,0,0
트렌드 코리아 2026,9791193638859,S000217467412,김난도 교수님의 트렌트 시리즈는 역작이죠!,4,최고예요,ys*******,2025-11-17,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 10월이면 구매해서 보고 있어요.상당히 도움이 됩니다,4,도움돼요,pj*****,2025-11-17,0,0
트렌드 코리아 2026,9791193638859,S000217467412,5년째 읽는 트렌드 코리아~,4,도움돼요,eu*******,2025-11-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드 코리아 2026 재미 있어요,4,도움돼요,kc*****,2025-11-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 개인적으로 도움을 받는 책 입니다,4,도움돼요,co*******,2025-11-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,좋습니다 좋네요 좋아요,3,도움돼요,jc****,2025-11-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 한권으로 트랜드 파악할수 있어서 유익합니다 올해도 구입했네요,3,쉬웠어요,mu*******,2025-11-15,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내년 혹은 향후 미래를 좀 더 구체적으로 상상할 수 있게되네요,4,도움돼요,jj*****,2025-11-15,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"해마다 구입해서 읽어보는 도서입니다.
내년에는 또 어떤 트렌드가 있나하는 마음으로 보게되네요. 인사이트가 있어서 좋아요.",4,도움돼요,yu*****,2025-11-15,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미 있게 읽었습니다,4,최고예요,ja********,2025-11-14,0,0
트렌드 코리아 2026,9791193638859,S000217467412,새로운 트렌드 이해하는데 도움됩니다,4,도움돼요,jk****,2025-11-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,올해 트렌드 뿐 아니라 앞으로 바뀔 세상에 대해 진지하게 고민하게 해 주는 책이에요,4,도움돼요,sk********,2025-11-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,Ai로 인해 변화되는 우리의 트렌드를 잘 알 수 있었어요,4,도움돼요,me******,2025-11-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년 보네요..
잘 읽었습니다",4,집중돼요,as*****,2025-11-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,좋아요 너무졸아요앙,4,쉬웠어요,je******,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026을 대비하기위해 구입했어요,4,집중돼요,ib*******,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,그냥 그래요.........,4,집중돼요,ot***,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,그냥 그래요.........,4,집중돼요,ot***,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,그냥 그래요.........,4,집중돼요,ot***,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"궁금하여 구매 올해는
좀 실망",4,도움돼요,in*****,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,좋은 도서 잘 읽었습니다~ 감사,4,도움돼요,ro****,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년 필독서
트렌드를 잘 알게 돼요",4,도움돼요,li*******,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년 꼬박꼬박 챙겨보고 있습니다.
항상 좋은 인사이트를 줍니다.",4,도움돼요,sh********,2025-11-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내년의 변화 트렌드 추적서,4,추천해요,ar****,2025-11-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026이 기대됩니다.,4,도움돼요,ji*******,2025-11-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2025년 11월 나의 도서♡,4,도움돼요,ji*******,2025-11-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,무조건 읽어야지요. 매일 모든 신문사의 신문을 읽으신다는 교수님 응원합니다.,4,도움돼요,de********,2025-11-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있고 유익합니다.,4,집중돼요,su******,2025-11-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있고 유익합니다.,4,집중돼요,su******,2025-11-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있고 유익합니다.,4,집중돼요,su******,2025-11-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 잘 읽었습니다.,4,최고예요,ey*****,2025-11-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,처음 사봤는데 재밌어요 차근차근 읽어보겠습니다,4,집중돼요,ji*******,2025-11-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,아직은 어려운 내용이지만 이해해볼려고 노력해볼려구요,4,추천해요,dj********************,2025-11-08,0,0
트렌드 코리아 2026,9791193638859,S000217467412,많은 생각을 하게되는 내용입니다,4,도움돼요,wj********,2025-11-08,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2025년을 돌아보고 2026년을 새롭게 준비하게 해주는  다가올 새해에 기대감을 주는 도서입니다,4,도움돼요,sh****************,2025-11-08,0,0
트렌드 코리아 2026,9791193638859,S000217467412,격변하는 21세기.. 잘 적응하려면 일단 추세를 공부해야만 하겠더라구요!,4,도움돼요,na******,2025-11-07,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 읽고있습니다.,4,도움돼요,oi********,2025-11-07,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구매하는 책이에요,4,도움돼요,jh****,2025-11-07,0,0
트렌드 코리아 2026,9791193638859,S000217467412,감사해요 잘 읽을게요!,4,도움돼요,zq****,2025-11-07,0,0
트렌드 코리아 2026,9791193638859,S000217467412,너무 기대했던 책입니다. 만족합니다.  감사합니다,4,추천해요,jy*****,2025-11-06,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 기대되는 서적입니다,4,최고예요,sl****,2025-11-06,0,0
트렌드 코리아 2026,9791193638859,S000217467412,실무적으로 활용할수 있는 도서,4,도움돼요,la****,2025-11-06,0,0
트렌드 코리아 2026,9791193638859,S000217467412,good good good.,4,도움돼요,mk****,2025-11-06,0,0
트렌드 코리아 2026,9791193638859,S000217467412,책이 유익하고 좋아요,4,집중돼요,cd*****,2025-11-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,업무 관련해서 도움돼요. 잘 읽고 있습니다.,4,도움돼요,co*******,2025-11-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구입하는 책입니다. 읽으면 도움 됩니다.,4,도움돼요,sj******,2025-11-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내 주변에서 일어나고 있는 일들이 보편화된 변화였군요.,4,도움돼요,hb****,2025-11-04,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"늘 이맘 때쯤 주문 해서 읽어보는 서적입니다. 
내년을 맞이하는 의식 처럼요",4,추천해요,ma*****************,2025-11-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년 트렌드 뿐만아니라 25년도 트렌드 정리도 하면서 전반적인 흐름들 알 수 있었습니다.,4,도움돼요,im*****,2025-11-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026대비해야죠^^ 내년엔 부자될래요~,4,집중돼요,ib*******,2025-11-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매해 읽고 있습니다. 추천할만한 책,4,도움돼요,es****,2025-11-02,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"최신 트렌드를 한권으로 읽을 수 있는 너무 좋은책이에요
매해 필구매도서입니다",4,집중돼요,tg******,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,AI 시대라 용어가 참 낯설고 어렵네요..,4,도움돼요,ji*****,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,굿이에요!!!!!!,4,집중돼요,ke*******,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,일을 똑바로좀해라ㅡㅡ,1,집중돼요,ap*****,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,어지럽고 불안한 현실에서 그래도 길잡이가 되어주길 바래봅니다.,4,추천해요,s2*****,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"AI가 발전하면서 사람들이 설 자리가 없어질까 두려워한다
그러나, 결국 “사람”이다 

사람만이 할 수 있는 영역이 있다
기계는, AI가 아무리 발전해도 할 수 없는 영역 말이다 
그것은 바로 인간만의
공감력, 감성, 창조력, 소통력이다 

그래서 현재 
레트로감성, 고전, 필사, 다이어리기록등이
유행을 하고 있는 이유이다 

나도 기계, 디지털로부터 멀어지고 싶고
손으로 사각사각 소리를 들으며 기록을 하고 
나만의 감성으로 만들어낸 다이어리를 모으고 
종이 책을 읽고 있는 이유이다 

AI가 발전하면서 생활이 편리해지고 
개인주의가 심해지지만서도
사람이라서 고독하고 외롭다 

2026년 HORSE POWER 10가지 핵심이 있지만, 
결론은  AI를 사람의 감성과 역량으로
얼마나 잘 활용하느냐이다 
결국 사람이다",4,집중돼요,26******,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026트랜드는 이책하나로!,4,도움돼요,rk****************,2025-11-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 보는 트렌드 세터들의 이야기,4,도움돼요,sh*******,2025-10-31,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년 AI시대 대전환등에 대한 내용 파악에 도움이 됩니다,4,도움돼요,sh*******,2025-10-30,0,0
트렌드 코리아 2026,9791193638859,S000217467412,역시 매 년 이맘때를 알리는 트렌드 코리아 올 해도 유익한 내용과 통찰력을 얻고 갑니다,4,추천해요,za****,2025-10-30,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 내년 트랜드를 미리알기위해 구매합니다,4,집중돼요,qu******,2025-10-29,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"해마다 트렌드코리아 출판 될때마다 잊지않고 예약해서 구입
읽고 있습니다
감사합니다",1,최고예요,Bo*****,2025-10-29,0,0
트렌드 코리아 2026,9791193638859,S000217467412,새해릏 위한 기본 준비!,4,추천해요,ur******,2025-10-29,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 그냥 행사처럼 구매,4,도움돼요,io*****,2025-10-28,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내용이 좋아서 도움이 많이 됐어요,4,최고예요,kp*******,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,연말에는 꼭 보고 지나가야하는 마음 ^^;;,4,도움돼요,ca*******,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"감사합니다
감사합니다",4,도움돼요,yh*****,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구매해요:) 트랜드 이해에 도움이돼요,4,도움돼요,re*******,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,다가올 새해에 관한 전망을 알 수 있어 도움이 됩니다,4,도움돼요,da*******,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,선물용 내용이 좋대요,4,집중돼요,ul*******,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 읽을께요!!!,4,집중돼요,ba******,2025-10-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년 대한민국의 소비트렌드를 미리 알 수 있는 좋은 책입니다.,4,추천해요,wh********,2025-10-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 읽겠습니다!,4,집중돼요,ba******,2025-10-24,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매번 주문합니다 매번 주문합니다 매번 주문합니다,4,도움돼요,ho*****,2025-10-23,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내년을 기다리며 샀어요,4,집중돼요,ju*******,2025-10-23,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"배는 항구에 정박해 있을 때가 가장 안전하지만, 그것이 배의 본질은 아니다.",4,최고예요,be*****,2025-10-23,0,0
트렌드 코리아 2026,9791193638859,S000217467412,많은 도움이 됩니다. 추천하고 싶어요.,4,추천해요,ss***************,2025-10-23,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내년에는 어떤 트렌드가 대한민국을 선도할지 궁금해요.,4,도움돼요,ja****,2025-10-22,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"책은 해마다 사는책입니다.
근데ㅠㅠ 앞페이지가 구겨짐 표시가 있어서 ..꼭 누가 보던책같이ㅠ
인터넷 배송은 새책으로 배송 부탁드려요..",3,도움돼요,rn*****************,2025-10-21,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2025년 트렌드에 이어 구매,4,도움돼요,vn*******,2025-10-20,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 읽고 있는 책입니다. 올해에도 기대되네요!,4,추천해요,he*****,2025-10-20,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내용이 알차고 시의성이 있어 많은 도움이 됩니다.  2026년을 미리 보는 것 같네요.,4,도움돼요,od****,2025-10-19,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 읽는 도서 입니다.기대됩니다.,4,도움돼요,j8***,2025-10-18,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 키워드 뽑아내는게 대단하네요,4,추천해요,in*****,2025-10-18,0,0
트렌드 코리아 2026,9791193638859,S000217467412,내년의 시장을 움직일 핵심 키워드를 가장 앞서 읽는 ‘예측의 바이블’,4,추천해요,sm*******,2025-10-17,0,0
트렌드 코리아 2026,9791193638859,S000217467412,도움될 것 같아서 구매했습니다 열심히 읽어볼게요,4,도움돼요,th********,2025-10-17,0,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드 공부에 도움이 됩니다,4,도움돼요,jg*****,2025-10-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,좋은 내용들로 이루어진 값진 책이네요. 추천드립니다,4,도움돼요,na******,2025-10-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 읽어 볼게요,4,추천해요,wy***************,2025-10-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,남편이 골라서 구매했습니다,3,추천해요,pr********,2025-10-16,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구매하는 책으로 최신 트렌드와 시장흐름을 쉽고 재미있게 이해할수 있어서 좋습니다.,4,최고예요,no******,2025-10-15,0,0
트렌드 코리아 2026,9791193638859,S000217467412,읽어 볼만 합니다!,4,추천해요,jj*******,2025-10-15,0,0
트렌드 코리아 2026,9791193638859,S000217467412,해마다 찾아오는 그래서 꼭 읽어야합니다,4,도움돼요,la******,2025-10-15,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026 트렌드 다 잡을게요,3,도움돼요,oi******,2025-10-14,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 트렌드를 이해하기 좋은 책입니다,4,쉬웠어요,ch******,2025-10-14,0,0
트렌드 코리아 2026,9791193638859,S000217467412,항상 잘 일고 있어요. 개인적으로 올해는 새로운 것보다 공감되는 내용이 많아요.,4,도움돼요,mu*******,2025-10-13,0,0
트렌드 코리아 2026,9791193638859,S000217467412,이 책이 나오면 연말이 되어가는게 실감나네요 ㅎㅎ 2026년 트렌드 책도 잘 읽어볼게요!,4,추천해요,me****************,2025-10-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매해 트렌드를 딱딱 집어주어서 매해 꼭 읽어야하는 필독추천서입니다. 역시 굿굿,4,추천해요,dn******,2025-10-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"[이 리뷰는 똑똑한도서소개단에서 직접 읽고 작성한 리뷰입니다.]

추석, 각종 기념일 등이 많았던 이른바 슈퍼연휴가 끝났습니다. 이제는 모두 일상으로 돌아가야 합니다만 필자의 입장으로 보면 엄청 바쁘게 보냈습니다. 밀린 도서 소개에 집중해야 했기 때문입니다. 이제 일상으로! 를 다시 한 번 외쳐 봅니다. 여러분들도 두달 반 정도 남은 2025년 마무리 잘 하시고 불확실성이 커질 것으로 예상되는 만큼 모쪼록 2025년의 남은 시간도 행복하시기 바랍니다. 올 한 해를 빛낸 제품과 서비스가 무엇인지 살펴보고 2026년에는 소비 트렌드로 주목해야 할 것이 무엇인지 살펴보는 시간 맞이하시기 바랍니다. 

서점가는 추석 연휴가 지나면 늘 반복되는 패턴이 하나 있습니다. 추석 연휴가 끝나면 바로 10월로 넘어가게 됩니다. 물론 그렇지 않은 해도 몇몇 발견되긴 합니다만 대체적으로 보면 추석 연휴가 지나면 꼭 10월 또는 9월 말이 됩니다. 그 때부터 트렌드 도서들이 무수하게 쏟아져 나오게 되며 이와 함께 달력, 다이어리 등도 각 브랜드별로 출시됩니다. 대체로 9월 하순에서 10월 사이에 벌어지는 일인데요. 올해도 어김없이 추석연휴가 지나가고 10월 중순이 되니 똑같은 현상이 벌어지고 있는 겁니다. 

우리가 일상을 살다 보면 다양한 트렌드를 쫓아가지 못해서 많은 것을 잃어야 하는 사례가 있습니다. 과거 트렌드에 대한 일정한 정보가 부족했을 때는 이런 것이 먹혀 들어가기도 하였습니다. 그런데 트렌드에 대한 정보가 풍부해 진 지금은 소비 트렌드를 제대로 읽지 못해서 눈앞에서 놓치는 사례들도 제법 생겨나고 있습니다. 그 다음 해를 준비할 때에는 다음해의 소비트렌드에 대해서 잘 알고 있어야 하며 이것은 소비트렌드 관련 도서의 간접 경험을 통해서 해결할 수 있습니다. 

소비 트렌드 도서 중에서 역사가 상당히 오래 된 책이 있습니다. 이 책의 특징은 시대를 선도할 뿐 아니라 그동안 많은 신조어를 만들어 낸 책입니다. 필자의 도서 소개 글을 잘 읽어보시게 되면 분초사회 라는 말이 많이 등장합니다. 2020년 코로나 19가 한참 창궐할 때부터 그런 느낌을 많이 받았습니다만 이 분초사회의 시초가 지금 소개해 드리려는 이 책에서 나온 것입니다. 또 이 책은 대한민국을 대표하는 경제예측 및 소비트렌드 예측 도서 원 탑으로, 이 마음때쯤 되면 늘 전체 베스트셀러에서 최상위권을 점하는 책이기도 합니다. 그 책이 올해도 2026년판으로 출간되었습니다.  

마치면서

이번 포스팅에서 다룰 도서는 책을 좋아하시는 분들이라면 누구나 구매하고 싶은 바로 그 책! 트렌드코리아 2026이 되겠습니다. 트렌드코리아 2026의 주제는 HORSE POWER입니다. 2025년 대한민국 10대 트렌드 상품으로는 지금 한창 화제의 중심이라고 볼 수 있는 AI 즉, 인공지능을 비롯해서 K뷰티, 자가진단, 저속노화식단 등이 선정되었습니다. 또한 2026년 붉은 말의 해에서 알아둬야 하는 중요한 단어로는 필코노미, 제로클릭, 휴먼인더루프, 레디코어, AX조직 등이 있습니다. 이 중 필자가 가장 주목한 부분은 AX조직입니다. 

AX조직은 필자가 도서소개를 진행해 오면서 여러 번 언급했었던 바로 그 내용이어서 각별한 관심을 기울일 수밖에 없습니다. 인공지능의 대전환시대이자 불확실성의 끝판왕이라 할 수 있는 2026년을 올바로 살아내려면 트렌드코리아 2026을 열독해야 합니다. 필자가 신간 도서소개 활동이 끝나면 가장 먼저 정독해야 할 책이기도 합니다.",4,도움돼요,sj****,2025-10-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,너무 좋은 챡입니다 벌써 나왔다니ㅜㅜ,4,집중돼요,eu********,2025-10-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,최고의 트렌드 분석서입니다,4,최고예요,jo***,2025-10-12,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년 필독서!!!
새로운 정보에 감사합니다^^",4,도움돼요,kh*****,2025-10-11,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"미리 읽고 싶어서 구입!
읽으면 든든한 마음이 들어요.",4,도움돼요,ma*****,2025-10-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,일 년을 준비하는 습관 중 하나. 잘 모르던 세상 돌아가는 일들을 이렇게나마 파악합니다.,4,도움돼요,er*******,2025-10-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 구입하는 책입니다.,3,쉬웠어요,ha*********,2025-10-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 그 해의 트렌드를 알기쉽게 정리해주셔서 꾸준히 구매하고 있어요.,4,추천해요,ju*******,2025-10-10,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"올해는 그 어느때보다 읽을것이.많은 한해 입니다.
추천드립니다.",4,추천해요,bp****,2025-10-09,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매해 늘 이맘때즈음 구입하는 책 입니다. 
올해 트렌드는 어땠는 지 내년에는 어떻게 트렌드가 바뀔 것인지 전체적으로 조망하기에 좋습니다.",4,추천해요,ma*****************,2025-10-07,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 읽어야하는 필독도서같아요,4,집중돼요,mu********,2025-10-06,0,0
트렌드 코리아 2026,9791193638859,S000217467412,키워드로 미리 읽는 2026,4,도움돼요,yo***,2025-10-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 잘 읽었습니다,3,추천해요,ja********,2025-10-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 잘 읽었습니다,4,집중돼요,ja********,2025-10-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재미있게 잘 읽고있습니다~,4,집중돼요,sh******,2025-10-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"2026년의 핵심 키워드를 '홀스파워(HORSE POWER)'로 제시하며, 대전환의 시대를 관통하는 의미를 담고 있습니다. 최고의 도움이 됩니다^^",4,최고예요,mo******,2025-10-05,0,0
트렌드 코리아 2026,9791193638859,S000217467412,올해도 잘 읽어볼게요,4,도움돼요,fa**********,2025-10-04,0,0
트렌드 코리아 2026,9791193638859,S000217467412,감사히 잘 받았습니다.,4,도움돼요,fa**********,2025-10-04,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년 읽고 있습니다 좋은 내용을 담고있어 읽기좋네요,!!",4,도움돼요,tj********,2025-10-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드코리아 2026  너무 재미있게 읽었습니다!,4,도움돼요,sh******,2025-10-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년 트렌드를 미리 읽어보렵니다,4,도움돼요,ic*****,2025-10-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,역시 올해도 이책으로 마무리를 시작합니다,4,최고예요,ch*****,2025-10-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,해마다 기대되는 시리즈를 올해도 함께합니다~,2,도움돼요,mu********,2025-10-03,0,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드 코리아 2026,4,추천해요,ab*****,2025-10-02,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"2026 트렌드
기대됩니다.",4,도움돼요,n2*****,2025-10-02,0,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드 코리아 2026 시즌이 시작되었습니다. 집중력 있는 글과 정보에 감사드립니다.,4,집중돼요,js*****,2025-10-02,0,0
트렌드 코리아 2026,9791193638859,S000217467412,재밌게 읽을게요~~,4,추천해요,20*****,2025-10-02,0,0
트렌드 코리아 2026,9791193638859,S000217467412,연말이 되면 한해를 돌아보고 내년을 계획하면서 이 책이 딱이었어요. 잘 읽었습니다. 굿.,4,추천해요,ch********,2025-10-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,최고네요. 강추합니다!,4,최고예요,le********,2025-10-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 보는 책이라 이제는자동으로 사게 되네요,4,도움돼요,hc******,2025-10-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,빠른 배송에 감탄합니다. 이제 부터 정독 하려합니다,4,추천해요,nz*****,2025-10-01,0,0
트렌드 코리아 2026,9791193638859,S000217467412,가격도 저렴하고 배송 빠르고해서 바로 읽어볼수있어서 좋아요 항상 잘 보고있어요.,4,도움돼요,gk*****,2025-09-30,0,0
트렌드 코리아 2026,9791193638859,S000217467412,빠른 배송에 꼼꼼한 포장~^^,4,추천해요,gu***************,2025-09-30,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"미리 보는 2026,  앞서 가는 10년 !!",3,추천해요,jp***,2025-09-30,0,0
트렌드 코리아 2026,9791193638859,S000217467412,처음 회사대표님께 선물받아 읽어보았습니다. 지금은 제가 팀원에게  선물하네요 . 그만큼 팁이 되는 책입니다.,4,추천해요,kk*****,2025-09-29,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"AI 대전환시대에....읽은 내용과 생각할 것들이 많습니다. 
올해는 꼭 사서 읽어 보시길 추천드립니다.",4,추천해요,bp****,2025-09-29,0,0
트렌드 코리아 2026,9791193638859,S000217467412,해마다 무슨 키워드가 자꾸 나올까 하다가도 이 책자를 접하면 그런 생각은 아예 싹틀 기운조차 없을 정도로 새로운 트렌드의 내용들로 꽉 차네요.,4,추천해요,ss****,2025-09-29,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 유익하게 읽는 도서입니다.,4,도움돼요,ss*****,2025-09-28,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년을 기대하며 예약걸어 받앗네요 집중되여,4,집중돼요,db********,2025-09-28,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년 가을을 맞이하며 내년을 차분히 준비하는 마음으로 찾는 서적입니다. 이북으로도 접하다가 올해는 출판책으로 영접해봅니다. 말의 해를 맞은 두음 제목이 항상 흥미롭습니다. 콘텐츠 차례 제목대로 힘이 나는 한해되었으면 좋겠습니다. 인공지능과 사람의 변증법적인 상호작용이 기대됩니다.,4,도움돼요,su*******,2025-09-27,0,0
트렌드 코리아 2026,9791193638859,S000217467412,트렌드코리아 나올때마다 읽는데 정말 좋은책같아요,4,도움돼요,je*********************,2025-09-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,2026년을 준비하는 나만의 루틴!!!,4,추천해요,fi****************,2025-09-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"매년 마다 꼭 읽는 책
한해를 마감 새해를 준비 하는 책 추천",4,최고예요,li****,2025-09-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,한 해 루틴 잘 볼게요~~,4,추천해요,di*******,2025-09-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,매년기다리는 책입니다. 잘 읽겠습니다.,4,추천해요,bo******,2025-09-26,0,0
트렌드 코리아 2026,9791193638859,S000217467412,"트렌드라는게 언제 어떻게 변할지 모르고 책또한 오래두고 볼것은 아니지만
흐름은 짐작할 수 있어서 좋은 것같습니다",3,도움돼요,ha*****,2025-09-26,0,0
